-5.495540499687194824e-01,3.099657595157623291e-01,5.318605303764343262e-01,2.739747613668441772e-02,-3.614253178238868713e-02,-6.583208590745925903e-02,9.967994689941406250e-01,6.096627935767173767e-02,4.844014942646026611e-01,-1.223145723342895508e+00,-9.580829739570617676e-01,4.957195818424224854e-01,-2.098265886306762695e+00,-6.729709357023239136e-02,1.306921839714050293e+00,2.119422107934951782e-01,2.451955229043960571e-01,1.495252363383769989e-02,-6.696368753910064697e-02,1.457757800817489624e-01,1.492721289396286011e-01,-4.023258686065673828e-01,1.497137099504470825e-01,-8.428922295570373535e-02,-5.769242718815803528e-02,-2.645185776054859161e-02,2.313021868467330933e-01,-1.753938347101211548e-01,1.517056953161954880e-02
-5.375895500183105469e-01,3.052748739719390869e-01,5.299446582794189453e-01,7.422442547976970673e-03,-2.350323833525180817e-02,-3.747750073671340942e-02,9.989934563636779785e-01,-8.279695175588130951e-03,4.172090888023376465e-01,-1.317779183387756348e+00,-9.910693168640136719e-01,5.954025387763977051e-01,-2.106229782104492188e+00,-7.806423306465148926e-02,1.360177755355834961e+00,1.520403921604156494e-01,2.467058002948760986e-01,-3.087510541081428528e-02,-1.244731154292821884e-02,8.974878489971160889e-02,2.205582112073898315e-01,-4.520623385906219482e-01,1.350188404321670532e-01,-1.469215899705886841e-01,-1.118687726557254791e-02,-8.654623478651046753e-02,3.707030117511749268e-01,-2.793257832527160645e-01,3.254537936300039291e-03
-5.395638346672058105e-01,3.050431013107299805e-01,5.301805138587951660e-01,1.018095016479492188e-02,-2.019420266151428223e-02,-3.304881229996681213e-02,9.991978406906127930e-01,-1.365355122834444046e-02,4.036646783351898193e-01,-1.332188844680786133e+00,-1.010371208190917969e+00,5.957671403884887695e-01,-2.098768234252929688e+00,-6.747210025787353516e-02,1.356983304023742676e+00,1.456833183765411377e-01,2.502630650997161865e-01,-4.828350618481636047e-02,-1.709881611168384552e-02,8.169177919626235962e-02,2.263676226139068604e-01,-4.485341608524322510e-01,1.323033720254898071e-01,-1.538491994142532349e-01,-1.904393360018730164e-02,-9.440003335475921631e-02,3.644757568836212158e-01,-2.738406956195831299e-01,5.178394727408885956e-03
-5.401446819305419922e-01,3.047463893890380859e-01,5.300887227058410645e-01,1.100189983844757080e-02,-1.795778609812259674e-02,-2.927693165838718414e-02,9.993494749069213867e-01,-3.268280299380421638e-03,3.971126675605773926e-01,-1.338060855865478516e+00,-1.026275753974914551e+00,5.937622785568237305e-01,-2.092177867889404297e+00,-5.739286169409751892e-02,1.354671835899353027e+00,1.480456143617630005e-01,2.550157010555267334e-01,-6.023144721984863281e-02,-1.858733221888542175e-02,7.505252212285995483e-02,2.333277314901351929e-01,-4.488550722599029541e-01,1.316471099853515625e-01,-1.595083177089691162e-01,-2.258972451090812683e-02,-1.041185185313224792e-01,3.663136065006256104e-01,-2.756607234477996826e-01,3.809222020208835602e-03
-5.412433147430419922e-01,3.044964671134948730e-01,5.299478173255920410e-01,1.067522633820772171e-02,-1.392496097832918167e-02,-2.533114328980445862e-02,9.995251297950744629e-01,-4.425178281962871552e-03,3.906824886798858643e-01,-1.336713075637817383e+00,-1.035581231117248535e+00,5.890933275222778320e-01,-2.091301202774047852e+00,-4.609168320894241333e-02,1.357836008071899414e+00,1.576522886753082275e-01,2.703722417354583740e-01,-7.872968167066574097e-02,-1.776155829429626465e-02,6.416350603103637695e-02,2.424987256526947021e-01,-4.464882016181945801e-01,1.315631419420242310e-01,-1.710173040628433228e-01,-2.263648808002471924e-02,-1.110378354787826538e-01,3.690401613712310791e-01,-2.732824981212615967e-01,2.504222793504595757e-03
-5.420669317245483398e-01,3.040310740470886230e-01,5.298907160758972168e-01,1.012897677719593048e-02,-1.203852519392967224e-02,-2.029077894985675812e-02,9.996703267097473145e-01,2.779121277853846550e-03,3.948648571968078613e-01,-1.325357556343078613e+00,-1.047402381896972656e+00,5.842032432556152344e-01,-2.090700864791870117e+00,-3.454710543155670166e-02,1.359712958335876465e+00,1.504771709442138672e-01,2.839230000972747803e-01,-9.522258490324020386e-02,-1.543641835451126099e-02,5.655400454998016357e-02,2.570761144161224365e-01,-4.466040432453155518e-01,1.273682266473770142e-01,-1.743994802236557007e-01,-2.216120995581150055e-02,-1.205823346972465515e-01,3.686324656009674072e-01,-2.712416648864746094e-01,3.191121853888034821e-03
-5.430844426155090332e-01,3.037286400794982910e-01,5.297843813896179199e-01,9.347761981189250946e-03,-7.853353396058082581e-03,-1.526043564081192017e-02,9.998090267181396484e-01,8.967367000877857208e-03,3.879148960113525391e-01,-1.300326347351074219e+00,-1.039600491523742676e+00,5.725379586219787598e-01,-2.092913866043090820e+00,-2.243015915155410767e-02,1.356023907661437988e+00,1.689845919609069824e-01,3.067297041416168213e-01,-1.172699555754661560e-01,-1.396779157221317291e-02,4.566523432731628418e-02,2.710754275321960449e-01,-4.441157579421997070e-01,1.264495849609375000e-01,-1.851060390472412109e-01,-2.204736508429050446e-02,-1.317893713712692261e-01,3.698474168777465820e-01,-2.710260152816772461e-01,2.938892226666212082e-03
-5.449950098991394043e-01,3.037939667701721191e-01,5.295569896697998047e-01,9.332957677543163300e-03,-2.576298080384731293e-03,-1.210264768451452255e-02,9.998798966407775879e-01,2.374629303812980652e-02,3.703771829605102539e-01,-1.246727824211120605e+00,-1.037152886390686035e+00,5.597013235092163086e-01,-2.092585563659667969e+00,-1.369570009410381317e-02,1.360596537590026855e+00,1.718905121088027954e-01,3.356283307075500488e-01,-1.464564949274063110e-01,-1.381233800202608109e-02,4.303488135337829590e-02,2.908632457256317139e-01,-4.423632919788360596e-01,1.230305284261703491e-01,-2.021771073341369629e-01,-2.416615001857280731e-02,-1.387629359960556030e-01,3.732904493808746338e-01,-2.678070664405822754e-01,3.859233576804399490e-03
-5.454222559928894043e-01,3.029741644859313965e-01,5.290908813476562500e-01,7.539801765233278275e-03,3.691461402922868729e-03,-8.369226008653640747e-03,9.999297261238098145e-01,2.228178642690181732e-02,3.471322953701019287e-01,-1.158113837242126465e+00,-1.027979254722595215e+00,5.316764116287231445e-01,-2.101581335067749023e+00,4.230858292430639267e-03,1.363643050193786621e+00,1.891474723815917969e-01,3.994351625442504883e-01,-1.765001714229583740e-01,-9.308026172220706940e-03,3.021232038736343384e-02,3.136028051376342773e-01,-4.451493620872497559e-01,1.221658438444137573e-01,-2.218412458896636963e-01,-2.041389048099517822e-02,-1.467521041631698608e-01,3.835873305797576904e-01,-2.700099647045135498e-01,-2.281745946675073355e-05
-5.468803644180297852e-01,3.032550513744354248e-01,5.286020040512084961e-01,7.644070312380790710e-03,1.078184880316257477e-02,-6.033101584762334824e-03,9.998944401741027832e-01,1.508050225675106049e-02,3.038811385631561279e-01,-1.050179362297058105e+00,-1.010071039199829102e+00,4.950032532215118408e-01,-2.103286504745483398e+00,1.968143694102764130e-02,1.363525390625000000e+00,1.957514584064483643e-01,4.744215309619903564e-01,-2.090675383806228638e-01,-1.065873075276613235e-02,2.800343185663223267e-02,3.351207971572875977e-01,-4.446429908275604248e-01,1.209058463573455811e-01,-2.462831735610961914e-01,-2.350903488695621490e-02,-1.507276147603988647e-01,3.944396078586578369e-01,-2.729988098144531250e-01,6.666884291917085648e-04
